Date,Song,Artist,Rank,Last Week,Peak Position,Weeks in Charts,Image URL
2000-02-09,Bring It All To Me,Blaque,8,6,5,17,https://charts-static.billboard.com/img/1999/03/blaque-039-180x180.jpg
2000-02-09,Blue (Da Ba Dee),Eiffel 65,9,7,6,10,https://charts-static.billboard.com/img/1999/12/eiffel-65-000-bluedabadee-dn0-180x180.jpg
2000-02-09,That's The Way It Is,Celine Dion,10,9,8,14,https://charts-static.billboard.com/img/1990/10/celine-dion-1hz-180x180.jpg
2000-02-16,Thank God I Found You,Mariah Carey Featuring Joe & 98 Degrees,1,2,1,11,#
2000-02-16,I Knew I Loved You,Savage Garden,2,1,1,18,#
2000-02-16,What A Girl Wants,Christina Aguilera,3,3,1,13,#
2000-02-16,Get It On Tonite,Montell Jordan,4,4,4,18,#
2000-02-16,Smooth,Santana Featuring Rob Thomas,5,5,1,30,https://charts-static.billboard.com/img/1969/09/santana-84r-180x180.jpg
2000-02-16,All The Small Things,blink-182,6,7,6,12,https://charts-static.billboard.com/img/1999/08/blink-182-2pa-allthesmallthings-rny-180x180.jpg
2000-02-16,Hot Boyz,"Missy ""Misdemeanor"" Elliott Featuring Nas| Eve & Q-Tip",7,11,5,13,https://charts-static.billboard.com/img/1997/06/missy-elliott-ulk-180x180.jpg
2000-02-16,Maria Maria,Santana Featuring The Product G&B,8,15,8,2,https://charts-static.billboard.com/img/1969/09/santana-84r-180x180.jpg
2000-02-16,Bring It All To Me,Blaque,9,8,5,18,https://charts-static.billboard.com/img/1999/03/blaque-039-180x180.jpg
2000-02-16,Show Me The Meaning Of Being Lonely,Backstreet Boys,10,12,10,8,https://charts-static.billboard.com/img/1995/10/backstreet-boys-waj-180x180.jpg
2000-02-23,I Knew I Loved You,Savage Garden,1,2,1,19,#
2000-02-23,Thank God I Found You,Mariah Carey Featuring Joe & 98 Degrees,2,1,1,12,#
2000-02-23,Amazed,Lonestar,3,18,3,30,#
2000-02-23,What A Girl Wants,Christina Aguilera,4,3,1,14,#
2000-02-23,Breathe,Faith Hill,5,21,5,17,https://charts-static.billboard.com/img/1993/10/faith-hill-n2i-180x180.jpg
2000-02-23,Maria Maria,Santana Featuring The Product G&B,6,8,6,3,https://charts-static.billboard.com/img/1969/09/santana-84r-180x180.jpg
2000-02-23,Get It On Tonite,Montell Jordan,7,4,4,19,#
2000-02-23,All The Small Things,blink-182,8,6,6,13,https://charts-static.billboard.com/img/1999/08/blink-182-2pa-allthesmallthings-rny-180x180.jpg
2000-02-23,Smooth,Santana Featuring Rob Thomas,9,5,1,31,https://charts-static.billboard.com/img/1969/09/santana-84r-180x180.jpg
2000-02-23,Hot Boyz,"Missy ""Misdemeanor"" Elliott Featuring Nas| Eve & Q-Tip",10,7,5,14,https://charts-static.billboard.com/img/1997/06/missy-elliott-ulk-180x180.jpg
2000-03-01,Amazed,Lonestar,1,3,1,31,#
2000-03-01,I Knew I Loved You,Savage Garden,2,1,1,20,#
2000-03-01,Breathe,Faith Hill,3,5,3,18,#
2000-03-01,Thank God I Found You,Mariah Carey Featuring Joe & 98 Degrees,4,2,1,13,#
2000-03-01,Maria Maria,Santana Featuring The Product G&B,5,6,5,4,https://charts-static.billboard.com/img/1969/09/santana-84r-180x180.jpg
2000-03-01,That's The Way It Is,Celine Dion,6,11,6,17,https://charts-static.billboard.com/img/1990/10/celine-dion-1hz-180x180.jpg
2000-03-01,Bye Bye Bye,*NSYNC,7,13,7,6,https://charts-static.billboard.com/img/2000/01/n-sync-3cz-byebyebye-ab8-180x180.jpg
2000-03-01,All The Small Things,blink-182,8,8,6,14,https://charts-static.billboard.com/img/1999/08/blink-182-2pa-allthesmallthings-rny-180x180.jpg
2000-03-01,Show Me The Meaning Of Being Lonely,Backstreet Boys,9,12,9,10,https://charts-static.billboard.com/img/1995/10/backstreet-boys-waj-180x180.jpg
2000-03-01,Get It On Tonite,Montell Jordan,10,7,4,20,#
2000-03-08,Amazed,Lonestar,1,1,1,32,#
2000-03-08,Maria Maria,Santana Featuring The Product G&B,2,5,2,5,#
2000-03-08,Breathe,Faith Hill,3,3,3,19,#
2000-03-08,I Knew I Loved You,Savage Garden,4,2,1,21,#
2000-03-08,Get It On Tonite,Montell Jordan,5,10,4,21,#
2000-03-08,Bye Bye Bye,*NSYNC,6,7,6,7,https://charts-static.billboard.com/img/2000/01/n-sync-3cz-byebyebye-ab8-180x180.jpg
2000-03-08,Show Me The Meaning Of Being Lonely,Backstreet Boys,7,9,7,11,https://charts-static.billboard.com/img/1995/10/backstreet-boys-waj-180x180.jpg
2000-03-08,That's The Way It Is,Celine Dion,8,6,6,18,https://charts-static.billboard.com/img/1990/10/celine-dion-1hz-180x180.jpg
2000-03-08,All The Small Things,blink-182,9,8,6,15,https://charts-static.billboard.com/img/1999/08/blink-182-2pa-allthesmallthings-rny-180x180.jpg
2000-03-08,Smooth,Santana Featuring Rob Thomas,10,13,1,33,https://charts-static.billboard.com/img/1969/09/santana-84r-180x180.jpg
